"ID","Age_new","Sex_new","Light_new","total_percent_double","PFC_avg_double","PFC_avg_percent_double","HPC_avg_double","HPC_avg_percent_double"
1,"Old","Male","CTR",6.092437,3,1.8181818,26,8.3067093
7,"Old","Male","ISF",14.36950147,15,6.666666667,34,29.31034483
28,"Old","Male","ISF",19.0376569,39,10.9550562,52,42.6229508
31,"Old","Male","CTR",9.8484848,12,6.25,14,20
33,"Old","Male","CTR",9.2307692,19,4.5783133,29,27.6190476
34,"Mid","Female","CTR",11.74089069,23,7.165109034,33,19.07514451
35,"Mid","Female","ISF",34.2776204,41,22.1621622,80,47.6190476
40,"Old","Male","CTR",16.7901235,9,4.787234,59,25.9911894
41,"Mid","Female","CTR",28.5382831,50,19.7628459,73,41.011236
43,"Mid","Male","ISF",28.2555283,4,2.0512821,111,43.1906615
44,"Mid","Male","CTR",17.9856115,22,8.8709677,78,25.1612903
45,"Mid","Female","ISF",16.2835249,30,7.4441687,55,36.4238411
47,"Mid","Female","ISF",24.5583039,28,7.6923077,111,53.1100479
48,"Mid","Female","CTR",21.3307241,45,12,64,47.0588235
50,"Old","Female","ISF",37.8521127,122,43.8848921,93,32.0689655
51,"Old","Female","CTR",71.7522659,356,71.9191919,119,71.257485
52,"Old","Female","ISF",8.9147287,12,3.3613445,34,21.3836478
53,"Mid","Female","CTR",10.8108108,0,0,24,14.3712575
57,"Mid","Male","ISF",31.08861505,3,5.23399015,41.5,48.25581395
58,"Mid","Male","CTR",16.9761273,8,3.8277512,56,33.3333333
60,"Old","Male","CTR",19.25,43,12.3919308,34,64.1509434
62,"Mid","Male","ISF",18.1268882,41,8.8172043,79,40.1015228
65,"Mid","Male","ISF",20.5729167,16,7.6190476,63,36.2068966
68,"Mid","Male","CTR",6.7846608,1,0.7518797,22,10.6796117
69,"Mid","Male","ISF",26.875,92,20.043573,80,44.198895
70,"Mid","Female","CTR",16.8341709,8,3.4632035,59,50.4273504
71,"Mid","Female","ISF",32.8846154,106,29.8591549,65,39.3939394
73,"Old","Female","ISF",10.1694915,11,3.5830619,31,29.245283
74,"Old","Female","ISF",21.9653179,35,17.8571429,41,27.3333333
77,"Old","Female","CTR",8.1932773,2,0.5089059,37,44.5783133
78,"Old","Female","CTR",12.2699387,66,10.6280193,34,17.5257732
80,"Mid","Male","CTR",22.97593,64,16.5374677,41,58.5714286
82,"Mid","Female","ISF",18.3673469,31,7.5242718,77,43.75
83,"Old","Female","CTR",41.1003236,175,35.3535354,79,64.2276423
86,"Mid","Female","CTR",30.1104972,74,24.1042345,35,63.6363636
87,"Mid","Female","CTR",9.4594595,6,2.5104603,29,21.969697
88,"Mid","Female","ISF",32.3834197,56,22.7642276,69,49.2857143
89,"Young","Female","CTR",16.0714286,34,11.971831,38,23.1707317
90,"Young","Female","CTR",12.920354,26,6.3106796,47,30.7189543
92,"Young","Male","ISF",13.7996219,41,11.6477273,32,17.4863388
96,"Old","Female","ISF",9.17721519,1,0.6134969325,28,22.4
97,"Young","Female","ISF",9.0146751,13,4.8327138,30,14.084507
101,"Young","Female","ISF",31.5508021,57,22.5296443,61,50.4132231
102,"Young","Female","ISF",24.7252747,24,11.3744076,66,43.1372549
104,"Young","Male","CTR",26.4367816,90,21.2264151,71,38.3783784
105,"Young","Male","ISF",31.5508021,57,22.5296443,61,50.4132231
106,"Young","Male","CTR",17.1526587,55,13.1264917,45,26.9461078
