sample,model,term,beta,p,n_mice,ci_lo,ci_hi
FULL,Circadian LME: IS,PRE_POST x Light,0.00157394454235718,0.957551832613853,94,,
FULL,Circadian LME: IV,PRE_POST x Light,0.07871447701092263,0.19610663040787035,94,,
FULL,Circadian LME: RA,PRE_POST x Light,-0.01697943273784115,0.612134186672814,94,,
FULL,Circadian LME: Amplitude,PRE_POST x Light,0.1677140895357612,0.4631481579318881,94,,
FULL,Barnes T6: p_correct (Binomial GLM),Light[ISF],1.000000082690371e-10,1.0,86,,
FULL,NOR: DI (robust OLS),Light[ISF],-0.05164536398269255,0.39432716549793934,76,,
FULL,Mediation: Light->dIS->Barnes,indirect (a*b),-0.02837717049698802,,86,-0.14136304691144108,0.06135695598867447
FULL,Mediation: Light->dIS->NOR,indirect (a*b),0.001680760820304116,,76,-0.010917249576414729,0.01983402498258769
CLEAN,Circadian LME: IS,PRE_POST x Light,0.03909951461305191,0.34511436085640834,50,,
CLEAN,Circadian LME: IV,PRE_POST x Light,0.061952333824270935,0.46473116979528784,50,,
CLEAN,Circadian LME: RA,PRE_POST x Light,-0.016325052600591892,0.7296998760750861,50,,
CLEAN,Circadian LME: Amplitude,PRE_POST x Light,0.22630270446438597,0.39771462943041946,50,,
CLEAN,Barnes T6: p_correct (Binomial GLM),Light[ISF],inf,0.4791666666666667,48,,
CLEAN,NOR: DI (robust OLS),Light[ISF],-0.0436164568859535,0.6124811179976719,48,,
CLEAN,Mediation: Light->dIS->Barnes,indirect (a*b),-0.1043230430817584,,48,-0.5488637029467459,0.023236429594622385
CLEAN,Mediation: Light->dIS->NOR,indirect (a*b),5.920856363419086e-05,,48,-0.04127354709547191,0.04785595965949559
