pipeline,model,term,beta,p,n
Original (ClockLab),Circadian LME: IS,PRE_POST x Light,0.00157394454235718,0.957551832613853,94
Original (ClockLab),Circadian LME: IV,PRE_POST x Light,0.07871447701092263,0.19610663040787035,94
Original (ClockLab),Circadian LME: RA,PRE_POST x Light,-0.01697943273784115,0.612134186672814,94
Original (ClockLab),Circadian LME: Amplitude,PRE_POST x Light,0.1677140895357612,0.4631481579318881,94
Original (ClockLab),Barnes T6 probe accuracy (OLS),Light[ISF],-0.008678491501567477,0.7342190897004488,86
Original (ClockLab),NOR DI (OLS),Light[ISF],-0.05164536398269255,0.39432716549793934,76
Z-score normalised,Circadian LME: IS,PRE_POST x Light,0.04375579924026911,0.317857107199623,72
Z-score normalised,Circadian LME: IV,PRE_POST x Light,0.05103077125207277,0.530409241341625,72
Z-score normalised,Circadian LME: RA,PRE_POST x Light,4.946006506096423,0.08045837819569773,72
Z-score normalised,Circadian LME: Amplitude,PRE_POST x Light,0.028687884506379838,0.5578516487045755,72
Z-score normalised,Barnes T6 probe accuracy (OLS),Light[ISF],0.007302176520398911,0.8316538241805533,63
Z-score normalised,NOR DI (OLS),Light[ISF],-0.1056685247073451,0.14351442711590126,60
